cell_id,cell_lat,cell_lon,cell_population,cell_road_length,avg_speed_auto,median_speed_auto,std_speed_auto,avg_cf_auto,median_cf_auto,std_cf_auto,num_routes_auto,avg_speed_bicycle,median_speed_bicycle,std_speed_bicycle,avg_cf_bicycle,median_cf_bicycle,std_cf_bicycle,num_routes_bicycle,avg_speed_truck,median_speed_truck,std_speed_truck,avg_cf_truck,median_cf_truck,std_cf_truck,num_routes_truck
1kmN3330E4242,53.07633163264164,8.83019506311557,13046.0,24678.85,27.24390993562155,26.881613148843435,8.521794935379042,2.0322518037940887,1.8946947618283383,0.9184664509529366,69,14.464769864664541,14.474072862043467,2.110699586047182,1.5227167861708832,1.3873315946780895,0.5077185908180056,72,28.951429340721656,28.658598185602003,8.805285410323789,2.514591050772206,2.222919187426661,1.1229378680032667,51
1kmN3329E4240,53.06705358468396,8.80060672299378,12719.0,34817.94,26.74925469663793,26.34890181763819,5.830319851417995,2.2039284846137654,2.039691730528049,0.6647108593983739,71,14.889077481083708,15.061625280534347,1.146000029842716,1.5431525241381463,1.4308139549105152,0.3083863908019177,72,27.27882247922136,27.72194147604711,6.347740950701184,2.299850885827209,2.0732024388092443,0.7896440578037103,62
1kmN3332E4239,53.093858787579755,8.784935993226078,11292.0,38678.22,29.621063068435067,28.891235480464626,5.864780021959713,2.1237119433501297,1.610528275880648,1.0208309718677853,71,15.389927076658832,15.409010697645304,0.570910141827725,1.849090105834881,1.4725650025916497,0.8259265834946109,72,30.882101887786973,29.957308235684252,5.826545605987778,2.345052103307008,2.206402970921138,0.969844245439392,70
1kmN3332E4241,53.094155786423414,8.8147851265837,10426.0,37154.71,29.10161997865503,28.438302356585144,4.013891094564849,1.7653346534414378,1.5912396469376922,0.6109154963839385,72,15.441935455911695,15.545010759793279,0.7017485120901473,1.7270813685100639,1.6166392525395852,0.3864280311944487,72,28.04494115057184,27.94682262134848,4.553832621615044,2.0780546738260237,1.8493592199852615,0.8942986088150412,72
1kmN3329E4239,53.0669042683857,8.785691478935195,9969.0,36437.78,35.87814695465295,34.108504044010985,9.289479679529357,2.6459786297872108,2.3253272343171902,1.0957222351267053,56,14.864311026111226,14.82765018640067,0.922247776277982,1.6160226887501739,1.4737212759151785,0.4638223258904419,72,36.129020351450045,34.24928543106918,9.174022168578214,2.716837429832227,2.3442741657594786,1.1071942122991814,56
1kmN3334E4238,53.111677095361486,8.769501083835149,9356.0,30114.56,26.227792197401435,26.380065085944878,4.5224586840981456,1.6040986065230538,1.4455937921267121,0.5178641139812641,72,15.48937867797423,15.981642589803933,1.2841825739649373,1.3969445519469101,1.3797929586795472,0.2603911421290741,72,28.536085655997464,28.11387900355872,4.907520267937752,2.3543085903904855,1.9269041456890026,1.1398027436688056,69
1kmN3332E4240,53.09400821025173,8.799860512535798,8916.0,31606.83,32.837587516456225,31.704727421037063,5.781907332030301,2.06226160829521,1.8611242468984432,0.7388022760032851,72,15.798535729969293,15.794642480646761,0.8252081942030557,1.5774699944113613,1.416398019420371,0.4775818521340237,72,30.29707337841571,30.34536264845336,5.096727310107624,1.9583526700142593,1.9197981129216313,0.5060995483564846,26
1kmN3329E4243,53.06749046238423,8.845353017590345,8733.0,31837.96,28.998794170670596,29.1787021687364,4.503473635394171,1.956804930519116,1.7330761735242042,0.8145375544075306,72,15.901097302180439,15.940991004805417,0.4573270348359811,1.6578349687384548,1.5400414480647684,0.4344015121208988,72,30.22218223726474,30.696146907447513,4.617020699691835,2.1353082074411014,1.8579573867685852,0.8696256602080642,72
1kmN3328E4240,53.05806869705076,8.800855208240892,8381.0,31585.9,29.206438382467493,28.424723343233747,6.823428095569215,2.0314496739538734,1.7989833989419513,0.881327754353069,72,15.15882252838568,15.63707888391361,1.4223567754524116,1.606136284773961,1.426243013752375,0.5120698321096662,72,30.37710621724093,30.31599167476687,6.7754129105223955,2.109052381661701,1.8426337502276795,0.8809528975552208,68
1kmN3333E4239,53.10284361501675,8.784683909646972,7916.0,36192.65,25.93983231453017,26.20142493459211,5.960963706461897,2.000971338616102,1.6159841743644976,0.9060193891277194,72,14.080889354270871,14.31972684217869,1.308121881957995,1.5803395381300562,1.457849527906705,0.41070480578722646,72,26.859010723544234,27.065822508459778,5.094982375016243,1.9080892768212099,1.7995869504472248,0.7273212519313003,27
