de_grid_id,city_name,population,avg_age,expected_parcels
1kmN3163E4140,"Dortmund, Stadt",2333.0,37.93,53344.91
1kmN3080E4044,"Aachen, Stadt",15650.0,36.37,439870.17
1kmN3080E4045,"Aachen, Stadt",12776.0,36.74,358349.2899999999
1kmN3080E4046,"Aachen, Stadt",15844.0,36.72,432914.01
1kmN3080E4047,"Aachen, Stadt",9773.0,39.31,256493.7
1kmN3080E4048,"Aachen, Stadt",629.0,45.72,16003.61
1kmN3080E4049,"Aachen, Stadt",1804.0,48.17,46610.119999999995
1kmN3080E4050,"Aachen, Stadt",2036.0,38.16,48748.62999999999
1kmN3117E4100,"Düsseldorf, Stadt",,,
1kmN3388E4226,"Bremerhaven, Stadt",166.0,40.55,4043.0699999999997
1kmN3074E4049,"Aachen, Stadt",1105.0,46.92,28795.660000000003
1kmN3080E4051,"Aachen, Stadt",89.0,45.38,2375.7000000000003
1kmN3080E4052,"Aachen, Stadt",45.0,45.81,954.69
1kmN3163E4141,"Dortmund, Stadt",61.0,51.14,898.83
1kmN3081E4040,"Aachen, Stadt",11.0,38.5,182.31
1kmN3081E4041,"Aachen, Stadt",1842.0,41.33,45474.19
1kmN3081E4042,"Aachen, Stadt",2614.0,37.2,70425.62
1kmN3081E4043,"Aachen, Stadt",4375.0,39.32,118050.84
1kmN3074E4050,"Aachen, Stadt",200.0,46.08,4512.09
1kmN3081E4044,"Aachen, Stadt",11416.0,34.54,326478.17
1kmN3163E4145,"Dortmund, Stadt",5298.0,43.38,135599.65
1kmN3163E4146,"Dortmund, Stadt",6382.0,42.31,163286.15
1kmN3074E4051,"Aachen, Stadt",34.0,47.31,716.61
1kmN3081E4045,"Aachen, Stadt",12376.0,35.66,347533.38
1kmN3163E4147,"Dortmund, Stadt",1558.0,46.79,40595.1
1kmN3331E4201,"Oldenburg (Oldenburg), Stadt",,,
1kmN3331E4202,"Oldenburg (Oldenburg), Stadt",9.0,31.75,318.3
1kmN3074E4052,"Aachen, Stadt",63.0,43.07,1170.78
1kmN3081E4046,"Aachen, Stadt",9882.0,36.77,262106.93
1kmN3163E4148,"Dortmund, Stadt",2438.0,40.57,61112.21000000001
1kmN3163E4149,"Dortmund, Stadt",878.0,47.82,22048.88
1kmN3388E4227,"Bremerhaven, Stadt",962.0,46.31,24049.739999999998
1kmN3081E4047,"Aachen, Stadt",2613.0,38.91,64276.72
1kmN3081E4048,"Aachen, Stadt",2153.0,42.12,54941.810000000005
1kmN3081E4049,"Aachen, Stadt",5944.0,44.29,154638.39
1kmN3075E4041,"Aachen, Stadt",68.0,45.4,1039.61
1kmN3075E4043,"Aachen, Stadt",,,
1kmN3163E4150,"Dortmund, Stadt",6305.0,36.09,141908.47
1kmN3163E4151,"Dortmund, Stadt",2014.0,41.58,48718.66
1kmN3081E4050,"Aachen, Stadt",3878.0,44.04,98776.77000000002
1kmN3081E4052,"Aachen, Stadt",,,
1kmN3082E4038,"Aachen, Stadt",45.0,46.61,974.1099999999999
1kmN3082E4039,"Aachen, Stadt",26.0,42.33,667.71
1kmN3163E4152,"Dortmund, Stadt",27.0,44.54,986.94
1kmN3163E4153,"Dortmund, Stadt",2047.0,45.36,49916.399999999994
1kmN3075E4044,"Aachen, Stadt",24.0,42.35,469.97
1kmN3082E4041,"Aachen, Stadt",118.0,39.95,2922.12
1kmN3082E4042,"Aachen, Stadt",1872.0,28.34,53238.53999999999
1kmN3082E4043,"Aachen, Stadt",2097.0,32.35,54593.76
1kmN3082E4044,"Aachen, Stadt",5470.0,33.51,153264.97000000003
1kmN3082E4045,"Aachen, Stadt",4364.0,42.87,113115.17000000001
1kmN3082E4046,"Aachen, Stadt",935.0,36.57,23371.85
1kmN3388E4228,"Bremerhaven, Stadt",2257.0,49.4,58676.0
1kmN3388E4229,"Bremerhaven, Stadt",3149.0,42.2,76713.27
1kmN3147E4109,"Essen, Stadt",442.0,31.58,8863.41
1kmN3388E4230,"Bremerhaven, Stadt",2572.0,43.91,63018.9
1kmN3164E4139,"Dortmund, Stadt",5192.0,41.62,131067.51
1kmN3164E4140,"Dortmund, Stadt",2645.0,43.46,66461.38
1kmN3389E4222,"Bremerhaven, Stadt",,,
1kmN3082E4047,"Aachen, Stadt",2658.0,38.61,65010.149999999994
1kmN3135E4092,"Düsseldorf, Stadt",952.0,36.17,22803.100000000002
1kmN3388E4231,"Bremerhaven, Stadt",213.0,46.27,5340.69
1kmN3389E4223,"Bremerhaven, Stadt",299.0,48.32,7178.73
1kmN3389E4225,"Bremerhaven, Stadt",,,
1kmN3068E4051,"Aachen, Stadt",,,
1kmN3068E4052,"Aachen, Stadt",,,
1kmN3082E4048,"Aachen, Stadt",1065.0,46.11,26326.98
1kmN3082E4050,"Aachen, Stadt",1651.0,41.71,42264.91
1kmN3082E4051,"Aachen, Stadt",8.0,28.37,873.2285999999999
1kmN3083E4037,"Aachen, Stadt",,,
1kmN3389E4228,"Bremerhaven, Stadt",,,
1kmN3083E4038,"Aachen, Stadt",195.0,50.13,5007.110000000001
1kmN3083E4039,"Aachen, Stadt",59.0,39.2,1014.9000000000001
1kmN3083E4041,"Aachen, Stadt",23.0,40.09,211.71000000000004
1kmN3083E4042,"Aachen, Stadt",516.0,43.01,12089.57
1kmN3083E4043,"Aachen, Stadt",4007.0,45.4,104862.41
1kmN3083E4044,"Aachen, Stadt",744.0,47.45,18235.1
1kmN3083E4045,"Aachen, Stadt",223.0,42.62,5208.12
1kmN3164E4141,"Dortmund, Stadt",13.0,42.43,538.0
1kmN3164E4142,"Dortmund, Stadt",,,
1kmN3083E4046,"Aachen, Stadt",646.0,40.63,19098.84
1kmN3083E4047,"Aachen, Stadt",2532.0,43.41,65844.64
1kmN3083E4048,"Aachen, Stadt",5247.0,41.71,136684.49
1kmN3083E4049,"Aachen, Stadt",618.0,44.62,15267.800000000001
1kmN3083E4050,"Aachen, Stadt",1700.0,42.64,43311.15
1kmN3083E4051,"Aachen, Stadt",,,
1kmN3083E4052,"Aachen, Stadt",5.0,18.71,44.04
1kmN3084E4037,"Aachen, Stadt",5.0,47.09,1452.7265000000002
1kmN3084E4038,"Aachen, Stadt",190.0,48.43,4558.32
1kmN3074E4053,"Aachen, Stadt",5.0,79.67,85.14
1kmN3084E4039,"Aachen, Stadt",6.0,54.44,85.14
1kmN3164E4143,"Dortmund, Stadt",180.0,44.25,4329.98
1kmN3084E4040,"Aachen, Stadt",19.0,37.62,85.14
1kmN3084E4041,"Aachen, Stadt",22.0,47.69,356.82000000000005
1kmN3084E4042,"Aachen, Stadt",530.0,49.28,13003.23
1kmN3084E4043,"Aachen, Stadt",2935.0,47.16,74345.3
1kmN3084E4044,"Aachen, Stadt",1002.0,44.34,25444.879999999997
1kmN3164E4144,"Dortmund, Stadt",3.0,67.0,1901.46
1kmN3084E4045,"Aachen, Stadt",55.0,39.21,945.25
1kmN3084E4046,"Aachen, Stadt",38.0,38.76,487.62
1kmN3084E4047,"Aachen, Stadt",101.0,44.29,2530.6099999999997
1kmN3084E4048,"Aachen, Stadt",,,
1kmN3084E4049,"Aachen, Stadt",,,
1kmN3084E4050,"Aachen, Stadt",,,
1kmN3084E4051,"Aachen, Stadt",,,
1kmN3084E4052,"Aachen, Stadt",,,
1kmN3084E4115,"Köln, Stadt",,,
1kmN3085E4040,"Aachen, Stadt",,,
1kmN3085E4041,"Aachen, Stadt",49.0,54.67,1183.8000000000002
1kmN3333E4252,"Bremen, Stadt",,,
1kmN3085E4042,"Aachen, Stadt",1576.0,44.74,39045.409999999996
1kmN3085E4043,"Aachen, Stadt",3140.0,45.27,81719.05
1kmN3085E4044,"Aachen, Stadt",904.0,48.69,23044.08
1kmN3164E4145,"Dortmund, Stadt",548.0,44.38,13837.029999999999
1kmN3085E4045,"Aachen, Stadt",118.0,45.7,2611.6200000000003
1kmN3085E4107,"Köln, Stadt",,,
1kmN3085E4108,"Köln, Stadt",,,
1kmN3085E4109,"Köln, Stadt",446.0,45.58,10361.34
1kmN3085E4110,"Köln, Stadt",1362.0,44.38,33473.44
1kmN3078E4041,"Aachen, Stadt",,,
1kmN3085E4111,"Köln, Stadt",,,
1kmN3085E4112,"Köln, Stadt",,,
1kmN3085E4113,"Köln, Stadt",,,
1kmN3085E4114,"Köln, Stadt",524.0,39.83,13473.66
1kmN3085E4115,"Köln, Stadt",7.0,51.51,89.37
1kmN3085E4116,"Köln, Stadt",626.0,39.34,15140.64
1kmN3086E4041,"Aachen, Stadt",10.0,50.46,291.21000000000004
1kmN3086E4042,"Aachen, Stadt",85.0,53.72,2096.41
1kmN3086E4043,"Aachen, Stadt",255.0,34.7,5492.72
1kmN3389E4229,"Bremerhaven, Stadt",256.0,47.23,5958.63
1kmN3086E4044,"Aachen, Stadt",159.0,40.28,3239.46
1kmN3086E4105,"Köln, Stadt",,,
1kmN3086E4106,"Köln, Stadt",,,
1kmN3086E4107,"Köln, Stadt",1584.0,40.53,38379.409999999996
1kmN3086E4108,"Köln, Stadt",717.0,40.96,18137.760000000002
1kmN3086E4109,"Köln, Stadt",7.0,42.53,92.55000000000001
1kmN3086E4110,"Köln, Stadt",1560.0,44.7,38947.0
1kmN3086E4111,"Köln, Stadt",40.0,43.94,895.53
1kmN3086E4112,"Köln, Stadt",,,
1kmN3086E4113,"Köln, Stadt",,,
1kmN3086E4114,"Köln, Stadt",,,
1kmN3086E4115,"Köln, Stadt",876.0,45.15,21889.079999999998
1kmN3086E4116,"Köln, Stadt",3225.0,43.58,82256.81
1kmN3086E4119,"Köln, Stadt",,,
1kmN3087E4040,"Aachen, Stadt",,,
1kmN3087E4041,"Aachen, Stadt",43.0,49.7,591.24
1kmN3087E4042,"Aachen, Stadt",946.0,45.56,24550.07
1kmN3087E4043,"Aachen, Stadt",50.0,51.01,786.75
1kmN3087E4104,"Köln, Stadt",3612.0,42.35,92258.63
1kmN3164E4146,"Dortmund, Stadt",99.0,43.15,2041.5100000000002
1kmN3389E4230,"Bremerhaven, Stadt",470.0,38.15,11171.15
1kmN3087E4105,"Köln, Stadt",351.0,43.9,8898.88
1kmN3109E4103,"Köln, Stadt",,,
1kmN3332E4232,"Bremen, Stadt",3.0,34.6,1120.694
1kmN3389E4231,"Bremerhaven, Stadt",34.0,44.65,842.97
1kmN3087E4106,"Köln, Stadt",986.0,42.64,24243.88
1kmN3087E4107,"Köln, Stadt",1042.0,41.46,24538.770000000004
1kmN3390E4231,"Bremerhaven, Stadt",,,
1kmN3087E4108,"Köln, Stadt",48.0,48.37,1114.97
1kmN3087E4109,"Köln, Stadt",1123.0,44.73,27348.809999999998
1kmN3087E4110,"Köln, Stadt",2083.0,44.08,53504.520000000004
1kmN3135E4093,"Düsseldorf, Stadt",1164.0,44.51,28995.510000000002
1kmN3087E4111,"Köln, Stadt",624.0,44.61,15041.47
1kmN3087E4112,"Köln, Stadt",3212.0,47.66,83004.61
1kmN3087E4113,"Köln, Stadt",1185.0,46.49,30523.95
1kmN3087E4114,"Köln, Stadt",,,
