de_grid_id,city_name,population,avg_age,expected_parcels
1kmN3330E4239,"Bremen, Stadt",2141.0,38.28,56608.85999999999
1kmN3330E4240,"Bremen, Stadt",5198.0,40.21,145007.88
1kmN3330E4241,"Bremen, Stadt",6624.0,41.99,181283.67999999996
1kmN3330E4242,"Bremen, Stadt",13046.0,41.71,355298.27
1kmN3330E4243,"Bremen, Stadt",6069.0,44.17,163312.31
1kmN3330E4244,"Bremen, Stadt",4073.0,44.12,106393.76999999999
1kmN3330E4245,"Bremen, Stadt",3936.0,47.13,103421.65
1kmN3330E4246,"Bremen, Stadt",5345.0,47.76,141171.15
1kmN3330E4247,"Bremen, Stadt",6526.0,41.15,162035.38999999998
1kmN3330E4248,"Bremen, Stadt",2704.0,44.59,68457.11
1kmN3330E4249,"Bremen, Stadt",3667.0,43.51,90647.26999999999
1kmN3330E4250,"Bremen, Stadt",3546.0,41.67,86051.15
1kmN3331E4232,"Bremen, Stadt",51.0,44.8,836.3100000000001
1kmN3331E4233,"Bremen, Stadt",83.0,44.72,1608.94
1kmN3331E4234,"Bremen, Stadt",37.0,48.3,541.71
1kmN3331E4235,"Bremen, Stadt",3.0,15.06,0.0
1kmN3331E4237,"Bremen, Stadt",2986.0,42.31,77763.22
1kmN3331E4238,"Bremen, Stadt",3999.0,40.98,105192.08
1kmN3331E4239,"Bremen, Stadt",1839.0,37.71,46318.49
1kmN3331E4240,"Bremen, Stadt",5095.0,41.01,137205.35
1kmN3331E4241,"Bremen, Stadt",4128.0,37.74,109137.01000000001
1kmN3331E4242,"Bremen, Stadt",6237.0,45.1,166620.21
1kmN3331E4243,"Bremen, Stadt",7058.0,44.31,183653.14
1kmN3331E4244,"Bremen, Stadt",6562.0,44.28,170554.76
1kmN3331E4245,"Bremen, Stadt",4454.0,45.27,115155.18
1kmN3331E4246,"Bremen, Stadt",5466.0,40.4,134664.39
1kmN3331E4247,"Bremen, Stadt",3962.0,40.01,95568.66
1kmN3331E4248,"Bremen, Stadt",444.0,48.14,10598.400000000001
1kmN3331E4249,"Bremen, Stadt",1139.0,53.88,28739.75
1kmN3331E4250,"Bremen, Stadt",1518.0,45.97,37218.45
1kmN3332E4231,"Bremen, Stadt",118.0,47.52,2324.48
1kmN3332E4236,"Bremen, Stadt",204.0,47.83,5351.610000000001
1kmN3332E4237,"Bremen, Stadt",2503.0,46.09,67349.78
1kmN3332E4238,"Bremen, Stadt",2150.0,34.26,50817.61
1kmN3332E4239,"Bremen, Stadt",11292.0,40.85,296923.87
1kmN3332E4240,"Bremen, Stadt",8916.0,41.37,240940.64999999997
1kmN3332E4241,"Bremen, Stadt",10426.0,44.34,277282.26
1kmN3332E4242,"Bremen, Stadt",1565.0,48.11,42155.2
1kmN3332E4243,"Bremen, Stadt",6258.0,44.43,167229.63
1kmN3332E4244,"Bremen, Stadt",2843.0,45.8,73233.55
1kmN3332E4245,"Bremen, Stadt",3246.0,50.38,85372.88999999998
