de_grid_id,city_name,expected_parcels
1kmN3331E4250,"Bremen, Stadt",37218.45
1kmN3332E4231,"Bremen, Stadt",2324.48
1kmN3332E4236,"Bremen, Stadt",5351.610000000001
1kmN3332E4237,"Bremen, Stadt",67349.78
1kmN3332E4238,"Bremen, Stadt",50817.61
1kmN3332E4239,"Bremen, Stadt",296923.87
1kmN3332E4240,"Bremen, Stadt",240940.64999999997
1kmN3332E4241,"Bremen, Stadt",277282.26
1kmN3332E4242,"Bremen, Stadt",42155.2
1kmN3332E4243,"Bremen, Stadt",167229.63
1kmN3332E4244,"Bremen, Stadt",73233.55
1kmN3332E4245,"Bremen, Stadt",85372.88999999998
1kmN3332E4246,"Bremen, Stadt",76813.39000000001
1kmN3332E4247,"Bremen, Stadt",67702.48999999999
1kmN3332E4248,"Bremen, Stadt",34625.82
1kmN3332E4249,"Bremen, Stadt",19325.42
1kmN3332E4250,"Bremen, Stadt",8117.030000000001
1kmN3332E4251,"Bremen, Stadt",277.02
1kmN3333E4231,"Bremen, Stadt",424.59
1kmN3333E4232,"Bremen, Stadt",85.14
1kmN3333E4237,"Bremen, Stadt",53726.55
1kmN3333E4238,"Bremen, Stadt",8452.75
1kmN3333E4239,"Bremen, Stadt",206738.06
1kmN3333E4240,"Bremen, Stadt",97558.76000000001
1kmN3333E4241,"Bremen, Stadt",93274.35
1kmN3333E4242,"Bremen, Stadt",31285.95
1kmN3333E4243,"Bremen, Stadt",10982.79
1kmN3333E4244,"Bremen, Stadt",75807.08
1kmN3333E4245,"Bremen, Stadt",111459.93000000001
1kmN3333E4246,"Bremen, Stadt",94484.95
1kmN3333E4247,"Bremen, Stadt",61992.36
1kmN3333E4248,"Bremen, Stadt",15331.68
1kmN3333E4249,"Bremen, Stadt",85.14
1kmN3333E4250,"Bremen, Stadt",760.86
1kmN3333E4251,"Bremen, Stadt",449.37
1kmN3334E4233,"Bremen, Stadt",85.14
1kmN3334E4234,"Bremen, Stadt",9967.43
1kmN3334E4235,"Bremen, Stadt",4060.5
1kmN3334E4236,"Bremen, Stadt",97.17
1kmN3334E4237,"Bremen, Stadt",119531.19
1kmN3334E4238,"Bremen, Stadt",234196.76999999996
1kmN3334E4239,"Bremen, Stadt",21365.699999999997
1kmN3326E4237,"Bremen, Stadt",85.14
1kmN3334E4240,"Bremen, Stadt",1033.95
1kmN3337E4238,"Bremen, Stadt",92.33999999999999
1kmN3341E4234,"Bremen, Stadt",83730.52
1kmN3334E4241,"Bremen, Stadt",783.6899999999999
1kmN3334E4242,"Bremen, Stadt",471.01
1kmN3334E4243,"Bremen, Stadt",1371.28
1kmN3334E4244,"Bremen, Stadt",89.37
1kmN3334E4246,"Bremen, Stadt",91848.92
